stateAbbrev,countyName,FIPS,totalVotes,VAP,state,turnoutPerc,nNonVote,percFromMean
NJ,Monmouth County,34025,314377.0,454795.0,New Jersey,69.12499038028123,140418.0,13.624990380281233
NJ,Morris County,34027,250416.0,352315.0,New Jersey,71.07730298170671,101899.0,15.577302981706708
NJ,Ocean County,34029,274362.0,428955.0,New Jersey,63.96055530300381,154593.0,8.460555303003808
NJ,Passaic County,34031,194802.0,325420.0,New Jersey,59.86171716550919,130618.0,4.361717165509191
NJ,Salem County,34033,29494.0,48345.0,New Jersey,61.00734305512463,18851.0,5.507343055124629
NJ,Somerset County,34035,157092.0,224070.0,New Jersey,70.10844825277816,66978.0,14.60844825277816
NJ,Sussex County,34037,74126.0,110500.0,New Jersey,67.08235294117647,36374.0,11.582352941176467
NJ,Union County,34039,221975.0,344250.0,New Jersey,64.48075526506899,122275.0,8.980755265068993
NJ,Warren County,34041,49236.0,80095.0,New Jersey,61.472001997627814,30859.0,5.972001997627814
NM,Bernalillo County,35001,274662.0,479670.0,New Mexico,57.26061667396335,205008.0,1.760616673963348
NM,Catron County,35003,2049.0,2990.0,New Mexico,68.52842809364549,941.0,13.028428093645488
NM,Chaves County,35005,20271.0,43120.0,New Mexico,47.01066790352505,22849.0,-8.489332096474953
NM,Cibola County,35006,8063.0,19435.0,New Mexico,41.48700797530229,11372.0,-14.01299202469771
NM,Colfax County,35007,5332.0,10070.0,New Mexico,52.94935451837141,4738.0,-2.5506454816285924
NM,Curry County,35009,13370.0,34235.0,New Mexico,39.05360011683949,20865.0,-16.44639988316051
NM,De Baca County,35011,910.0,1590.0,New Mexico,57.23270440251572,680.0,1.732704402515722
NM,Dona Ana County,35013,70648.0,137950.0,New Mexico,51.212758245741206,67302.0,-4.287241754258794
NM,Eddy County,35015,19667.0,39745.0,New Mexico,49.482953830670525,20078.0,-6.0170461693294754
NM,Grant County,35017,12811.0,22390.0,New Mexico,57.21750781598928,9579.0,1.7175078159892792
NM,Guadalupe County,35019,1827.0,3520.0,New Mexico,51.90340909090909,1693.0,-3.5965909090909065
NM,Harding County,35021,527.0,470.0,New Mexico,100.0,0.0,44.5
NM,Hidalgo County,35023,1872.0,3270.0,New Mexico,57.247706422018354,1398.0,1.7477064220183536
NM,Lea County,35025,17712.0,40750.0,New Mexico,43.46503067484663,23038.0,-12.03496932515337
NM,Lincoln County,35027,8902.0,15345.0,New Mexico,58.012381883349626,6443.0,2.512381883349626
NM,Los Alamos County,35028,10885.0,13075.0,New Mexico,83.25047801147227,2190.0,27.750478011472268
NM,Luna County,35029,7295.0,15225.0,New Mexico,47.914614121510674,7930.0,-7.585385878489326
NM,McKinley County,35031,21703.0,51040.0,New Mexico,42.52155172413793,29337.0,-12.978448275862071
NM,Mora County,35033,2441.0,3680.0,New Mexico,66.33152173913044,1239.0,10.831521739130437
NM,Otero County,35035,20060.0,44810.0,New Mexico,44.76679312653425,24750.0,-10.733206873465747
NM,Quay County,35037,3572.0,6575.0,New Mexico,54.326996197718636,3003.0,-1.1730038022813645
NM,Rio Arriba County,35039,14878.0,28900.0,New Mexico,51.48096885813149,14022.0,-4.01903114186851
NM,Roosevelt County,35041,5950.0,13350.0,New Mexico,44.569288389513105,7400.0,-10.930711610486895
NM,Sandoval County,35043,61690.0,101330.0,New Mexico,60.880292114872205,39640.0,5.380292114872205
NM,San Juan County,35045,46110.0,86585.0,New Mexico,53.254027833920425,40475.0,-2.245972166079575
NM,San Miguel County,35047,10751.0,21945.0,New Mexico,48.99065846434267,11194.0,-6.509341535657327
NM,Santa Fe County,35049,71434.0,107355.0,New Mexico,66.53998416468725,35921.0,11.039984164687255
NM,Sierra County,35051,5181.0,9425.0,New Mexico,54.97082228116711,4244.0,-0.5291777188328908
NM,Socorro County,35053,6868.0,12255.0,New Mexico,56.04243166054672,5387.0,0.5424316605467183
NM,Taos County,35055,15260.0,25585.0,New Mexico,59.64432284541724,10325.0,4.144322845417243
NM,Torrance County,35057,6324.0,11585.0,New Mexico,54.58782908933967,5261.0,-0.9121709106603291
NM,Union County,35059,1702.0,3275.0,New Mexico,51.969465648854964,1573.0,-3.530534351145036
NM,Valencia County,35061,27592.0,53700.0,New Mexico,51.381750465549345,26108.0,-4.118249534450655
NY,Albany County,36001,139830.0,237990.0,New York,58.75456951972772,98160.0,3.254569519727717
